"Category", "Name", "Threadcount"
"Robert Bradford", "MacDonell of Glengarry D", "r#c80000g#004c00b#000064k#000000w#d0d0d0[b8(r1b2r3b12r1k12g12r3g2r1g4)w1"
"Robert Bradford", "MacDonell of Keppoch", "r#c80000g#004c00b#00004cw#d0d0d0[g2(r2b1r24w1b6r3g12r4)b1"
"Robert Bradford", "MacDonnald of ye Ylis", "r#c80000g#004c00b#00004ck#000000w#d0d0d0[w4(g30k1g1k1g3k12b10)r3"
"Robert Bradford", "MacDougall", "r#c80000p#ff4040g#004c00b#00004cw#d0d0d0[w1(r1p1r24b1r2g6r6g6p4r1p4b6r3g1r3g23r1p3)w1"
"Robert Bradford", "MacDougall D", "r#c80000g#004c00b#000064w#d0d0d0h#5a3094[w1(b2r1g15r2g1r2b5h2r1h2g5r5g5r1b1r15h2r1w1r1h2r15b1r1g5)r3"
"Robert Bradford", "MacDougall VS", "r#c80000g#004c00b#00004ch#5a3094[h4(g8b6h8r6g2r2g2r24g1)r3"
"Robert Bradford", "MacDuff", "r#c80000g#004c00b#00004ck#000000[r4(k1r4g6k4b3)r8"
"Robert Bradford", "MacEwan", "r#c80000g#004c00b#00004ck#000000y#ffc800[y2(k1g12k12b12k1b2k1b12k12g12k1)r2"
"Robert Bradford", "MacFarlane", "r#c80000g#004c00b#5a3094k#000000w#d0d0d0[r42(k1g12w2r3k1r3w2g2b12k4r3w4)g3"
"Robert Bradford", "MacFarlane VS", "k#000000w#d0d0d0[k7(w6k1)w6"
"Robert Bradford", "MacFie", "r#c80000g#004c00y#ffc800w#d0d0d0[w1(r12g2r1g16r1g2r12)y1"
"Robert Bradford", "MacGill", "r#c80000g#004c00b#000064k#000000w#d0d0d0y#ffff00[r41(g13k8w2y2r1y2w2b6k2r3y2)w5"
"Robert Bradford", "MacGillivray", "r#c80000g#004c00b#00004cw#d0d0d0[r4(w1b1r32w2r2b12r2g16r4w1r4)b2"
"Robert Bradford", "MacGregor", "r#c80000g#004c00k#000000w#d0d0d0[r36(g18r4g6k1)w2"
"Robert Bradford", "MacIain", "r#c80000k#000000y#ffc800[y2(k1r12k8r4k8)r4"
"Robert Bradford", "MacInnes", "r#c80000g#004c00b#000064k#000000w#d0d0d0y#ffff00[y2(k12g2k2g2k2g16k3w3k3b12g6)r2"
"Robert Bradford", "MacIntyre", "r#c80000g#004c00b#000064w#d0d0d0[w1(r2g2r4b16r2g1r4b1r2g16r4b2r2)w1"
"Robert Bradford", "MacIntyre L", "r#c80000g#004c00b#000064w#d0d0d0[w4(g32b12r3b12)g4"
